username,text,timestamp,url,keyword,scraped_at
wahyutaufik_,Ayolah IHSG segerakan 6900 nya,2026-04-29T02:06:15.000Z,https://www.threads.com/@wahyutaufik_/post/DXsr0fiGj-M,IHSG,2026-05-05T11:26:12.787188
agungwijaya.66,"JIKA kejadian IHSG turun dan nutup gap di 6000.
Saham apa yang akan kalian buy dan yakin bgt?
Kasih reasonnya ya…",2026-04-26T04:04:18.000Z,https://www.threads.com/@agungwijaya.66/post/DXlK8cpE2Jq,IHSG,2026-05-05T11:26:12.936012
didiariani,"Warga threads..Knp hari ini IHSG terjun bebas merah merona membara, ada kejadian apa ya?kira2 hold ANTM posisi -7% atau biarin aja ya?mohon pencerahannya",2026-04-30T05:18:55.000Z,https://www.threads.com/@didiariani/post/DXvmqeHFCf_,IHSG,2026-05-05T11:26:13.231167
susanasrihandayani,"Asing banyak exit
Karena rupiah melemah
Tapi percayalah mereka akan balik lagi karena trading di IHSG masih gurih😀
susanasrihandayani",2026-04-25T02:36:58.000Z,https://www.threads.com/@susanasrihandayani/post/DXicJ-bid3u,IHSG,2026-05-05T11:26:13.374768
bqmira19,"Kalo konten saham udah mulai rame lagi d thread, artinya ihsg mulai rebound🤣🤣🤣",2026-04-14T05:53:36.000Z,https://www.threads.com/@bqmira19/post/DXGd6lMEYNa,IHSG,2026-05-05T11:26:13.516069
liannichh,Fixx senin udah jelas nanti IHSG Hijauu.yang beli sektor oil sabar yaa besok kalau porto merahh wkwk,2026-04-18T06:20:10.000Z,https://www.threads.com/@liannichh/post/DXQ0Ip9GKG6,IHSG,2026-05-05T11:26:13.671500
nekerway,"Yang jadi pertanyaan. Ada apakah ini ?
Apakah Indonesia bener2 mau dibuang ke frontier market ?
Outflow asing sudah lebih dalem lagi dari outflow pas crash Covid dulu.",2026-04-23T06:58:53.000Z,https://www.threads.com/@nekerway/post/DXdwigtgcSg,IHSG,2026-05-05T11:26:13.844705
meizerofficial,"IHSG udah bottom bgt ini, tunggu nutup gap setelah itu 🚀",2026-04-23T05:00:31.000Z,https://www.threads.com/@meizerofficial/post/DXdi_keGfVA,IHSG,2026-05-05T11:26:13.975420
widipardiyawan,"Bapak Ibu, prediksi IHSG 27 April dan menu saham akan diupdate malam ini",2026-04-26T11:03:51.000Z,https://www.threads.com/@widipardiyawan/post/DXl69WZFGwa,IHSG,2026-05-05T11:26:14.114946
annisakss_,"KETINGGALAN INFO
Ini IHSG terguncang karena apa guysss ko merah semua?:))))",2026-04-24T03:49:44.000Z,https://www.threads.com/@annisakss_/post/DXf_sBZFDtR,IHSG,2026-05-05T11:26:14.247990
shafeeyeah,Kenapa ya BEI ini ikutan libur pas kita libur? IHSG jd bursa yang paling banyak libur di dunia deh kayanya,2026-04-30T23:20:04.000Z,https://www.threads.com/@shafeeyeah/post/DXxiZHpE3Yg,IHSG,2026-05-05T11:26:14.388277
putrynoviana,"Setelah istirahat jam makan siang, bagaimana prediksi IHSG?",2026-04-27T05:24:24.000Z,https://www.threads.com/@putrynoviana/post/DXn46A5k2E7,IHSG,2026-05-05T11:26:14.524280
fdnzl24,Lebih serem IHSG tahun lalu apa tahun ini geys? wkwk,2026-02-02T07:57:35.000Z,https://www.threads.com/@fdnzl24/post/DUP3qcfkaNe,IHSG,2026-05-05T11:26:14.667905
nadiaopin,Apakah sdh siap guys menghadapi IHSG Senin 6 April? Mau sedalam apalagi portoku 🙈🙈🙈,2026-04-04T03:06:53.000Z,https://www.threads.com/@nadiaopin/post/DWsa4uBj-Kk,IHSG,2026-05-05T11:26:14.868536
mang.amsi,IHSG NAIK HARI INI… TAPI YANG SUDAH TERLANJUR JUAL BAGAIMANA?,2026-04-08T11:08:27.000Z,https://www.threads.com/@mang.amsi/post/DW3lLR9ESLv,IHSG,2026-05-05T11:26:15.037835
buildportosaham,"Kasih hiburan meme ihsg hari ini dong, biar kita ga gila sendirian..",2026-01-28T05:29:36.000Z,https://www.threads.com/@buildportosaham/post/DUCuwQNEWMB,IHSG,2026-05-05T11:26:15.190640
yo_sannn,"Sepuhh, Info besok Senin pagi market apakah semua masih akan hijau puh ?",2026-04-12T11:52:22.000Z,https://www.threads.com/@yo_sannn/post/DXB9Ye9AdzZ,IHSG,2026-05-05T11:26:15.351423
adiyatnaagung,Saham di IHSG hancur ginih waktunya pesta saham boy thohir dan dan hari tanoe,2026-04-05T09:34:15.000Z,https://www.threads.com/@adiyatnaagung/post/DWvsAznE8X7,IHSG,2026-05-05T11:26:15.499710
dhiahft,"Ihsg anjlok
Apakah investasi di konoha ini sudah ga worth it?",2026-04-30T03:08:25.000Z,https://www.threads.com/@dhiahft/post/DXvXutdmcwW,IHSG,2026-05-05T11:26:15.634879
